Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2025-01-08,Breakfast,1754.5,27.3,10.7,2.5,3.6,0.0,203.3,1589.0,2413.6,260.6,31.3,60.8,123.8,0.1,160.1,84.5,85.8,
2025-01-08,Lunch,1169.9,33.1,6.1,8.6,10.6,0.0,576.0,2348.7,2475.3,19.8,7.8,1.8,186.5,0.0,2.3,6.1,32.9,
2025-01-09,Breakfast,1117.8,10.9,4.4,2.4,1.8,0.0,140.0,1024.4,1718.0,179.5,25.8,31.7,79.8,0.0,71.4,50.7,74.5,
2025-01-09,Dinner,391.6,6.8,0.1,0.1,0.1,0.0,0.0,423.1,358.3,50.5,3.0,1.5,29.6,0.0,152.2,6.2,14.2,
2025-01-09,Lunch,704.0,21.8,4.0,5.6,7.0,0.0,384.0,1412.0,1408.0,0.0,0.0,0.0,118.4,0.0,0.0,2.8,9.8,
2025-01-09,Snacks,183.6,3.0,1.8,0.4,0.2,0.0,70.0,201.4,235.2,12.4,2.8,2.5,28.2,0.0,0.0,22.5,11.3,
2025-01-10,Breakfast,529.1,7.0,3.7,1.1,0.8,0.0,140.0,222.8,919.8,63.6,9.0,24.7,56.5,0.0,29.6,42.9,26.2,
2025-01-10,Dinner,998.8,24.4,7.6,3.7,10.2,0.8,370.8,1044.4,2568.3,61.9,8.4,4.1,128.5,0.4,355.5,16.4,57.1,
2025-01-10,Lunch,659.8,11.6,2.2,3.0,3.6,0.0,192.0,1095.1,973.3,71.8,5.4,20.9,63.9,0.0,15.3,4.2,16.6,
2025-01-10,Snacks,493.7,9.8,2.2,1.0,0.0,0.0,70.0,312.4,564.7,49.0,3.9,22.4,52.4,0.0,23.6,20.6,8.0,
2025-01-11,Breakfast,2350.3,72.4,26.2,13.0,22.4,0.0,1184.1,3816.9,3531.8,222.2,30.4,37.2,201.1,0.3,196.7,115.9,109.8,
2025-01-11,Dinner,364.4,7.5,3.0,0.5,3.6,0.4,107.2,131.8,974.3,23.4,2.1,6.1,51.3,0.2,32.8,20.9,21.5,
2025-01-12,Breakfast,754.0,7.5,3.8,1.2,0.9,0.0,140.0,610.2,1003.6,113.1,10.5,28.5,60.9,0.0,35.6,44.7,37.2,
2025-01-12,Dinner,1192.2,16.9,3.9,3.4,5.6,0.2,255.3,1551.2,3269.6,129.1,19.5,15.3,128.0,0.4,278.6,45.5,64.3,
2025-01-12,Lunch,352.0,10.9,2.0,2.8,3.5,0.0,192.0,706.0,704.0,0.0,0.0,0.0,59.2,0.0,0.0,1.4,4.9,
2025-01-12,Snacks,200.4,0.9,0.3,0.1,0.1,0.0,8.2,60.8,444.3,33.5,4.8,26.1,17.3,0.0,15.3,19.3,1.9,
2025-01-13,Breakfast,703.7,9.8,4.2,2.1,1.6,0.0,140.0,225.6,1094.9,96.3,14.0,28.8,62.1,0.0,35.6,45.2,36.3,
2025-01-13,Dinner,368.2,6.9,3.7,0.1,0.0,0.0,20.0,267.6,1711.0,59.0,10.3,4.9,18.4,4.3,389.7,27.3,19.4,
2025-01-13,Lunch,851.5,23.2,4.7,2.3,5.9,0.4,251.0,691.5,1421.8,20.5,2.4,11.6,135.7,0.1,152.2,45.7,24.4,
2025-01-13,Snacks,556.3,10.9,2.0,2.7,3.4,0.0,182.4,1092.1,729.0,48.2,0.7,0.1,60.9,0.0,0.0,3.0,16.0,
2025-01-14,Breakfast,1102.0,16.0,5.2,3.6,3.4,0.0,236.0,1000.9,2096.7,136.9,25.8,31.9,105.8,0.0,114.8,51.1,67.6,
2025-01-14,Dinner,595.9,12.7,2.3,3.2,3.8,0.0,211.2,842.3,2057.7,43.5,7.7,3.7,73.0,0.3,292.3,10.7,19.8,
2025-01-14,Lunch,176.0,5.5,1.0,1.4,1.7,0.0,96.0,353.0,352.0,0.0,0.0,0.0,29.6,0.0,0.0,0.7,2.4,
2025-01-14,Snacks,550.2,6.2,2.3,0.2,0.0,0.0,95.0,245.4,1522.6,65.8,8.6,11.6,59.6,827.1,92.7,50.5,20.9,
2025-01-15,Breakfast,529.1,7.0,3.7,1.1,0.8,0.0,140.0,222.8,919.8,63.6,9.0,24.7,56.5,0.0,29.6,42.9,26.2,
2025-01-15,Dinner,686.0,11.4,2.1,3.0,3.6,0.0,192.0,2732.4,1712.0,70.7,5.2,1.8,69.5,0.3,75.2,5.1,21.7,
2025-01-15,Lunch,650.0,12.0,2.2,3.1,3.6,0.0,192.0,1267.5,1458.2,57.6,12.8,3.7,75.6,0.0,114.6,8.3,38.4,
2025-01-15,Snacks,547.6,7.5,2.6,1.0,1.0,0.0,130.5,598.2,1354.4,60.2,8.0,9.4,61.8,0.1,188.6,42.0,24.1,
2025-01-16,Breakfast,703.7,9.8,4.2,2.1,1.6,0.0,140.0,225.6,1094.9,96.3,14.0,28.8,62.1,0.0,35.6,45.2,36.3,
2025-01-16,Dinner,255.6,5.6,1.0,1.4,1.8,0.0,97.0,362.6,784.8,17.7,2.1,0.8,32.0,0.1,33.2,1.9,7.0,
2025-01-16,Snacks,1465.3,27.0,7.7,4.4,8.1,0.4,429.0,2010.0,2279.8,132.3,7.5,10.1,167.3,0.2,103.2,52.4,60.0,
2025-01-17,Breakfast,615.8,7.4,3.7,1.1,0.8,0.0,140.0,334.1,1098.0,82.9,11.2,29.1,59.0,0.0,99.5,45.5,31.1,
2025-01-17,Lunch,1176.4,23.3,4.3,5.9,7.1,0.0,384.0,2334.2,2554.7,89.2,22.4,5.5,146.4,0.0,70.1,11.0,68.0,
2025-01-17,Snacks,628.1,12.5,3.8,2.1,5.0,0.3,186.1,722.2,1563.8,60.7,5.9,2.8,67.6,0.3,194.9,9.7,34.8,
2025-01-18,Breakfast,703.7,9.8,4.2,2.1,1.6,0.0,140.0,225.6,1094.9,96.3,14.0,28.8,62.1,0.0,35.6,45.2,36.3,
2025-01-18,Dinner,529.2,12.5,2.3,3.2,3.8,0.0,211.2,818.9,1690.7,31.1,5.6,2.9,70.8,0.2,198.7,8.0,15.9,
2025-01-18,Lunch,1135.7,20.5,5.4,3.0,3.6,0.0,284.9,991.5,2293.4,99.3,16.4,20.0,141.5,0.1,379.9,61.0,28.2,
2025-01-18,Snacks,39.4,0.2,0.0,0.1,0.0,0.0,0.0,66.2,307.2,9.2,2.7,4.6,0.9,0.0,9.4,3.2,1.6,
2025-01-19,Breakfast,665.2,7.3,3.7,1.1,0.8,0.0,140.0,349.9,1088.5,94.5,11.1,32.5,58.9,0.0,95.1,45.4,31.0,
2025-01-19,Dinner,752.8,22.0,10.3,0.8,4.0,0.3,161.7,784.7,1507.4,79.3,21.1,4.0,73.6,18.4,214.4,39.2,48.9,
2025-01-19,Lunch,1015.1,31.6,11.1,3.2,3.5,0.0,220.5,1612.6,2294.2,76.2,30.5,10.9,120.7,4.2,57.5,37.2,40.0,
2025-01-20,Breakfast,717.3,9.9,4.2,2.1,1.6,0.0,140.0,238.8,1221.3,99.0,15.0,29.5,63.2,0.0,95.1,47.1,37.9,
2025-01-20,Lunch,726.5,14.3,2.9,3.0,3.5,0.0,225.2,1247.6,1927.0,58.6,14.5,4.7,87.7,0.1,42.4,10.0,45.9,
2025-01-20,Snacks,930.0,18.7,6.2,2.4,2.6,0.0,238.2,1309.2,1984.5,90.3,23.2,14.2,113.5,0.2,207.1,61.5,32.1,
2025-01-21,Breakfast,550.2,7.1,3.7,1.1,0.8,0.0,140.0,223.1,948.3,68.9,9.9,28.4,56.7,0.0,35.6,43.1,26.8,
2025-01-21,Dinner,747.7,14.9,6.3,1.7,2.0,0.0,191.6,932.1,1591.3,80.4,4.8,22.5,71.7,4.2,161.3,52.1,24.2,
2025-01-21,Lunch,1050.8,31.5,8.3,4.9,6.0,0.0,291.2,1414.4,1503.2,48.5,5.3,2.8,129.8,0.0,180.4,17.2,26.4,
2025-01-21,Snacks,74.0,2.0,0.4,0.6,0.8,0.0,2.6,2.8,0.0,0.0,1.8,0.2,2.6,0.0,2.0,2.0,4.0,
2025-01-22,Breakfast,964.0,13.5,4.9,2.7,2.6,0.0,237.9,996.3,1680.8,119.0,13.1,30.2,93.8,0.0,185.8,50.1,43.6,
2025-01-22,Dinner,290.4,9.0,1.7,2.2,2.8,0.0,158.4,582.5,580.8,0.0,0.0,0.0,48.8,0.0,0.0,1.2,4.0,
2025-01-22,Lunch,372.1,5.8,1.1,1.4,1.8,0.0,93.1,542.6,570.2,45.4,5.0,16.0,31.6,11.1,0.0,2.3,9.2,
2025-01-22,Snacks,742.0,21.3,9.9,1.4,1.7,0.0,134.7,777.0,495.0,43.2,7.4,9.7,71.9,7.9,12.8,77.4,22.6,
2025-01-23,Breakfast,550.2,7.1,3.7,1.1,0.8,0.0,140.0,223.1,948.3,68.9,9.9,28.4,56.7,0.0,35.6,43.1,26.8,
2025-01-23,Dinner,594.0,11.8,2.2,3.0,3.6,0.0,196.8,1159.4,1035.1,51.2,2.9,3.9,65.6,0.0,8.0,5.7,16.6,
2025-01-23,Lunch,1251.7,25.0,3.4,4.6,5.7,0.0,283.2,2055.8,2078.3,118.7,9.1,4.7,129.3,0.1,253.3,19.7,43.2,
2025-01-24,Breakfast,860.8,12.1,5.6,1.2,1.2,0.0,142.5,644.2,1055.6,119.2,11.2,29.2,72.3,0.0,35.6,52.4,41.2,
2025-01-24,Lunch,1532.0,35.9,11.4,5.3,6.1,0.0,454.6,2247.8,3356.7,121.8,36.5,30.4,189.9,15.4,83.5,74.8,55.8,
2025-01-25,Breakfast,2377.7,59.9,16.5,16.2,17.0,0.0,622.3,3511.9,4473.8,208.5,33.8,63.7,250.7,19.2,171.6,99.2,101.3,
2025-01-26,Breakfast,703.7,9.8,4.2,2.1,1.6,0.0,140.0,225.6,1094.9,96.3,14.0,28.8,62.1,0.0,35.6,45.2,36.3,
2025-01-26,Lunch,1928.0,37.9,9.9,6.2,6.9,0.0,382.3,3236.0,3881.3,200.7,43.9,14.1,202.6,1.8,60.3,27.8,135.9,
2025-01-27,Breakfast,961.8,11.6,4.6,2.3,2.2,0.0,209.1,1002.5,1308.7,130.9,11.2,29.4,83.9,0.0,38.3,46.2,43.0,
2025-01-27,Lunch,1599.8,38.6,10.5,4.5,5.2,0.0,279.5,1808.8,2456.8,126.8,34.3,28.1,181.4,11.2,34.6,53.7,95.6,
2025-01-28,Breakfast,602.2,7.3,3.7,1.2,0.8,0.0,140.0,1215.7,1223.5,80.4,12.3,35.8,58.2,0.0,44.1,45.9,28.2,
2025-01-28,Dinner,264.0,8.2,1.5,2.0,2.6,0.0,144.0,529.5,528.0,0.0,0.0,0.0,44.4,0.0,0.0,1.0,3.7,
2025-01-28,Lunch,1714.2,39.5,12.4,5.2,6.8,0.0,315.4,2662.4,2433.9,157.1,34.4,20.5,178.5,25.2,115.8,85.2,109.8,
2025-01-29,Breakfast,2357.2,43.9,9.4,8.2,7.5,0.0,429.0,2988.8,3759.3,294.9,63.8,51.2,217.9,5.5,140.4,62.8,126.8,
2025-01-29,Lunch,235.0,7.9,1.5,3.7,1.9,0.0,96.8,550.6,378.1,0.0,0.0,0.0,39.0,0.0,0.0,0.4,5.3,
2025-01-30,Breakfast,1004.8,15.2,5.2,3.1,3.3,0.0,275.4,1112.8,1500.6,113.7,10.5,28.5,102.7,0.0,35.6,45.7,40.8,
2025-01-30,Dinner,462.4,20.5,5.2,5.7,6.8,0.3,182.3,275.4,593.7,14.0,0.2,0.0,54.9,10.3,0.0,6.0,19.9,
2025-01-30,Lunch,637.6,20.5,4.5,3.3,2.7,0.0,146.9,1074.0,1073.4,57.0,32.3,2.3,87.8,0.0,3.1,7.6,34.3,
2025-01-30,Snacks,466.3,11.4,4.0,0.5,1.7,0.0,21.8,704.3,704.4,68.1,15.1,10.1,28.2,0.0,16.4,85.1,30.1,
2025-01-31,Breakfast,846.7,7.7,3.9,1.3,1.0,0.0,140.0,770.4,1058.5,133.4,11.2,29.4,62.9,0.0,38.3,45.8,41.8,
2025-01-31,Dinner,1045.6,22.3,4.2,4.7,5.4,0.2,140.4,850.3,938.6,139.2,22.3,6.9,79.8,8.0,2.8,83.6,82.8,
2025-01-31,Lunch,721.9,25.8,6.0,3.9,4.5,0.1,149.6,469.3,804.5,51.2,12.1,10.1,81.9,5.4,9.3,43.8,36.4,
2025-01-31,Snacks,402.8,13.1,1.3,2.5,5.0,0.0,20.0,479.3,72.1,34.8,11.4,14.8,44.8,30.0,0.0,92.4,16.8,
2025-02-01,Breakfast,2187.9,58.3,24.1,7.0,10.2,0.2,457.2,2444.8,2404.6,258.3,51.8,34.8,180.1,36.9,63.0,130.7,123.0,
2025-02-01,Dinner,517.5,10.5,2.8,1.8,4.6,0.0,117.8,875.8,499.6,76.9,2.3,4.2,29.3,5.9,137.2,4.7,21.9,
2025-02-01,Snacks,280.0,5.0,2.1,0.0,0.0,0.0,90.0,165.0,180.0,11.0,1.0,5.0,48.0,0.0,0.0,40.0,8.0,
2025-02-02,Breakfast,1900.7,55.9,20.0,6.5,20.7,0.2,512.7,2570.7,2721.2,197.0,16.4,35.8,152.0,23.0,96.8,84.9,87.6,
2025-02-02,Dinner,776.4,38.7,11.6,3.9,6.3,0.0,189.1,871.3,1154.6,58.3,7.2,1.7,53.1,8.2,66.3,33.5,15.2,
2025-02-02,Snacks,280.0,5.0,2.1,0.0,0.0,0.0,90.0,165.0,180.0,11.0,1.0,5.0,48.0,0.0,0.0,40.0,8.0,
2025-02-03,Breakfast,1931.5,42.3,13.7,7.0,13.0,0.1,548.5,2201.4,2783.5,191.6,30.0,37.8,200.4,4.1,40.9,95.8,109.3,
2025-02-03,Snacks,1012.3,13.9,1.6,1.1,3.0,0.0,70.0,465.2,1483.2,163.0,16.0,53.9,72.2,30.2,184.0,186.7,75.9,
2025-02-04,Breakfast,2961.3,96.7,27.5,18.3,30.2,0.1,804.8,3956.6,4508.0,311.6,103.6,45.6,272.9,13.3,89.1,138.9,158.4,
2025-02-05,Breakfast,2971.8,76.8,22.4,15.1,25.3,0.3,882.0,3442.4,5203.3,285.3,39.7,45.5,289.9,17.0,165.7,115.9,140.6,
2025-02-06,Breakfast,2979.3,92.7,29.2,14.1,18.9,0.5,678.6,2285.8,4795.3,293.6,52.6,38.9,256.7,19.0,143.7,179.4,174.5,
2025-02-07,Breakfast,2788.9,56.5,21.0,8.9,9.0,0.0,730.2,3259.2,6780.5,274.9,62.7,46.8,302.0,0.8,258.2,143.6,134.4,
2025-02-08,Breakfast,2756.7,67.5,23.9,3.5,3.0,0.0,613.7,3400.0,3666.3,278.0,48.9,55.6,258.3,1.2,100.3,99.7,130.5,
2025-02-09,Breakfast,2540.1,71.8,23.7,15.6,17.5,0.4,724.2,2755.6,5258.2,205.8,44.1,35.5,267.8,17.7,120.5,96.1,132.0,
2025-02-09,Dinner,246.4,0.3,0.1,0.1,0.0,0.0,0.0,19.2,1360.0,56.0,6.7,2.6,6.6,0.4,105.1,3.8,14.4,
2025-02-10,Breakfast,1474.1,20.7,6.3,4.7,4.9,0.0,362.7,1420.5,4206.1,176.8,31.1,34.8,148.0,0.6,184.9,52.9,80.3,
2025-02-10,Snacks,1294.8,40.3,17.1,2.7,7.3,0.0,325.0,1767.2,2651.2,117.1,23.9,8.8,131.5,23.3,150.4,110.7,49.2,
2025-02-11,Breakfast,2689.6,69.0,28.2,13.9,9.7,0.2,503.7,3550.6,7058.2,287.8,61.8,53.9,251.2,24.8,1038.1,195.4,135.7,
2025-02-12,Breakfast,1648.2,28.5,8.7,7.0,7.1,0.1,370.2,1022.3,5909.9,210.1,39.5,40.2,155.4,6.3,1102.8,82.0,92.6,
2025-02-12,Dinner,1098.7,40.4,16.0,6.0,7.1,0.3,351.9,2356.8,1091.1,73.7,8.8,4.1,112.5,16.6,0.0,22.2,29.4,
2025-02-13,Breakfast,2667.7,54.7,21.1,7.1,7.0,0.1,512.3,2799.7,6090.1,324.3,51.6,67.3,233.9,17.5,1175.0,125.3,165.0,
2025-02-14,Breakfast,2619.0,93.6,33.2,12.1,17.1,0.0,845.9,3668.9,2222.9,250.8,42.4,47.2,212.0,15.3,136.3,142.3,116.6,
2025-02-15,Breakfast,2599.5,79.3,22.9,12.9,17.4,0.0,1500.7,4039.3,4927.0,232.1,17.2,50.7,268.1,0.8,262.3,82.1,69.4,
2025-02-16,Breakfast,2663.5,129.1,32.7,17.4,34.8,1.0,556.7,4186.5,2855.5,184.9,15.8,19.0,186.2,339.3,148.4,40.4,112.0,
2025-02-17,Breakfast,2684.8,91.1,36.4,1.9,4.0,0.7,490.6,3182.4,1511.9,259.5,8.9,34.4,208.9,22.4,87.7,58.6,96.1,
2025-02-18,Breakfast,2475.5,50.4,16.0,4.2,3.6,0.0,631.7,2622.7,5766.6,259.0,54.7,41.4,254.8,13.5,445.5,118.0,155.6,
2025-02-19,Breakfast,2475.8,40.8,15.6,7.7,5.7,0.0,477.4,3951.0,4892.0,291.6,55.1,49.1,242.5,12.0,566.4,142.7,116.5,
2025-02-20,Breakfast,2499.1,46.7,15.0,8.1,8.8,0.0,593.0,3110.7,6007.9,282.0,60.4,78.8,253.7,12.0,905.5,116.1,93.5,
2025-02-21,Breakfast,2485.7,38.9,13.1,5.3,5.7,0.0,514.8,2367.1,5340.2,286.4,27.3,51.4,246.7,9.6,95.4,123.5,92.6,
2025-02-22,Snacks,2478.2,70.1,23.9,7.1,7.4,0.0,505.8,2585.0,6049.5,238.7,40.7,43.8,238.5,8.2,853.4,96.9,94.3,
2025-02-23,Breakfast,2477.0,56.8,19.7,2.7,2.8,0.0,820.1,3790.5,2744.8,256.1,18.8,53.6,230.0,10.5,57.6,137.0,79.6,
2025-02-24,Breakfast,2476.0,36.0,9.6,1.5,0.9,0.0,552.1,3117.0,4426.6,275.0,35.7,74.0,261.9,16.7,79.5,172.7,74.3,
2025-02-25,Breakfast,2492.0,47.7,14.5,4.3,4.5,0.0,380.1,4763.0,5267.8,277.6,83.7,56.7,253.0,24.2,72.9,120.1,117.8,
2025-02-26,Breakfast,2500.9,39.0,9.6,8.0,11.7,0.0,546.1,4539.9,6661.8,303.4,76.4,44.5,236.1,9.6,44.6,67.0,130.2,
2025-02-27,Breakfast,2490.6,39.9,12.1,6.2,6.3,0.0,448.4,5518.3,6889.1,319.4,104.3,45.6,249.0,12.2,29.3,107.3,175.1,
2025-02-28,Breakfast,4852.2,170.3,40.2,5.8,9.3,0.0,793.1,8744.2,4541.7,555.9,57.8,135.3,295.3,34.3,91.9,189.3,160.8,
2025-03-01,Breakfast,2731.4,48.9,11.9,13.7,11.2,0.0,419.1,6652.3,6494.7,338.2,63.5,60.3,239.6,25.1,98.3,144.8,165.9,
2025-03-02,Breakfast,2455.0,34.2,10.2,9.1,8.1,0.0,611.0,4427.4,5866.1,273.1,27.1,60.8,257.1,31.8,64.0,162.3,152.0,
2025-03-03,Breakfast,2483.8,34.0,9.5,7.3,7.5,0.0,500.4,3655.9,7396.1,327.7,65.7,52.5,237.3,2.7,885.3,104.6,139.7,
2025-03-04,Breakfast,2479.4,48.9,21.5,5.3,2.5,0.0,454.0,4010.9,5312.0,290.9,73.0,78.9,234.7,40.7,795.5,209.0,161.3,
2025-03-05,Breakfast,2520.1,84.7,16.5,0.4,0.2,0.0,434.1,2540.7,1665.0,241.4,23.4,64.6,219.6,3.0,26.1,48.9,47.5,
2025-03-06,Breakfast,2126.3,32.3,12.8,0.6,0.2,0.0,460.8,4449.6,5965.2,250.5,42.5,94.0,208.2,63.7,49.4,226.9,213.2,
2025-03-07,Breakfast,2497.6,46.8,17.4,9.0,7.9,0.0,574.4,4991.9,4148.4,255.8,31.6,39.7,258.1,10.1,25.8,115.7,89.3,
2025-03-08,Breakfast,2481.6,69.9,28.1,5.6,6.8,0.0,591.4,6017.6,2701.8,218.7,30.2,17.8,243.7,32.8,97.0,103.8,39.2,
2025-03-09,Breakfast,2436.8,46.5,18.5,4.4,7.5,0.0,450.0,2822.6,5222.8,271.4,34.5,101.2,236.7,41.1,237.3,266.3,180.1,
2025-03-10,Breakfast,2394.4,36.4,15.3,5.2,5.1,0.0,422.7,4401.0,4479.7,285.0,50.5,35.5,235.0,5.9,230.4,194.1,136.6,
2025-03-11,Breakfast,2340.7,47.5,19.9,7.6,11.8,0.8,447.9,4189.7,4440.1,276.2,45.6,68.4,210.3,21.1,472.3,214.1,123.7,
2025-03-12,Breakfast,3105.8,165.2,55.2,16.6,9.1,0.0,568.4,5824.1,4227.9,208.1,50.1,70.3,231.4,213.7,214.7,298.6,103.1,
2025-03-13,Breakfast,2976.2,121.8,38.1,15.4,27.7,0.0,914.3,3716.0,3499.2,279.0,28.2,61.8,181.9,219.5,87.5,140.4,111.6,
2025-03-14,Breakfast,2448.4,73.2,83.8,10.1,16.4,0.0,956.2,3289.8,4672.8,210.9,38.0,23.0,255.0,193.6,55.0,433.2,102.6,
2025-03-15,Breakfast,3008.8,160.4,43.1,16.4,26.3,0.4,815.1,6366.4,2145.2,227.6,25.1,68.4,173.9,27.2,35.1,67.8,95.5,
2025-03-16,Breakfast,2458.7,44.1,14.0,9.7,8.3,0.0,465.6,3518.5,5911.5,274.5,39.5,34.0,239.2,13.0,219.8,104.4,108.7,
2025-03-17,Breakfast,2472.6,40.3,12.8,7.2,8.1,0.0,518.8,4393.1,5975.7,249.7,48.7,61.0,276.8,8.0,42.5,159.4,94.1,
